OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O4,5729000,531000,35,38,HONDA,LUNAS
O3,1830000,370000,36,41,SUZUKI,LUNAS
O1,1604300,536000,24,46,SUZUKI,LUNAS
O3,1990500,485000,35,31,SUZUKI,LUNAS
O3,1920000,485000,35,51,SUZUKI,LUNAS
O3,2160000,379000,35,34,SUZUKI,LUNAS
O3,2680000,485000,35,47,KAWASAKI,LUNAS
O3,1931600,445000,36,37,SUZUKI,LUNAS
O3,1458800,471000,36,28,SUZUKI,LUNAS
O3,2190500,392000,35,52,SUZUKI,LUNAS
O3,2001250,392000,35,60,SUZUKI,TARIKAN
O3,1828800,498000,35,43,KAWASAKI,LUNAS
O2,1565650,462000,36,60,SUZUKI,LUNAS
O3,1799750,528000,29,40,SUZUKI,LUNAS
O3,3536000,400000,36,54,SUZUKI,LUNAS
O2,1150000,370000,36,42,SUZUKI,LUNAS
O3,1279700,379000,35,54,SUZUKI,TARIKAN
O2,1130368,359000,36,28,YAMAHA,LUNAS
O3,1584000,478000,18,31,SUZUKI,LUNAS
O2,1181589,411000,36,31,KAWASAKI,LUNAS
O3,1144805,353000,36,49,SUZUKI,LUNAS
O3,2100000,465000,36,48,HONDA,LUNAS
O3,1346666,367000,30,36,HONDA,LUNAS
O2,2075000,392000,35,31,SUZUKI,LUNAS
O1,1282100,265000,36,56,SUZUKI,LUNAS
O2,879356,271000,24,35,SUZUKI,LUNAS
O1,1435000,507000,35,61,KAWASAKI,TARIKAN
O2,1847642,531000,30,30,SUZUKI,LUNAS
O3,1871875,507000,35,32,KAWASAKI,LUNAS
O4,5300000,348000,36,29,SUZUKI,LUNAS
O2,1124000,379000,35,26,SUZUKI,LUNAS
O2,1095000,370000,36,41,SUZUKI,LUNAS
O2,1026400,304000,36,32,SUZUKI,LUNAS
O3,4240000,384000,35,39,SUZUKI,LUNAS
O3,3529408,662000,23,39,HONDA,LUNAS
O2,1410630,370000,36,34,SUZUKI,LUNAS
O2,1286944,427000,36,33,SUZUKI,LUNAS
O2,1836800,476000,30,26,KAWASAKI,LUNAS
O3,1034166,327000,36,48,SUZUKI,LUNAS
O2,1320175,423000,36,47,HONDA,LUNAS
O3,1428000,485000,35,48,SUZUKI,LUNAS
O3,1167600,302000,30,36,SUZUKI,LUNAS
O3,2212500,476000,35,42,SUZUKI,LUNAS
O3,1188000,375000,36,33,SUZUKI,LUNAS
O2,1190000,335000,36,26,SUZUKI,LUNAS
O2,1970400,670000,24,55,SUZUKI,LUNAS
O4,6807600,624000,23,33,SUZUKI,LUNAS
O2,1800000,496000,35,45,SUZUKI,LUNAS
O2,1460000,374000,36,35,SUZUKI,LUNAS
O2,2577600,370000,36,49,SUZUKI,LUNAS
O3,1565450,524000,24,38,SUZUKI,LUNAS
O1,1431100,473000,36,47,SUZUKI,LUNAS
O3,1058000,309000,36,60,SUZUKI,LUNAS
O3,2178400,691000,18,45,SUZUKI,LUNAS
O3,1186103,345000,36,42,SUZUKI,LUNAS
O3,1386875,427000,36,39,SUZUKI,LUNAS
O2,1919200,618000,23,32,SUZUKI,LUNAS
O2,1599200,485000,35,28,SUZUKI,LUNAS
O3,1184000,353000,36,30,SUZUKI,LUNAS
O3,1175300,375000,36,55,SUZUKI,LUNAS
O2,2068400,541000,29,30,SUZUKI,LUNAS
O3,1050000,288000,24,27,HONDA,LUNAS
O3,720000,498000,35,58,SUZUKI,LUNAS
O3,2062500,453000,36,36,KAWASAKI,LUNAS
O3,2615000,449000,36,38,SUZUKI,LUNAS
O4,5130000,409000,36,53,SUZUKI,LUNAS
O3,1687800,347000,24,37,SUZUKI,LUNAS
O3,2450000,485000,35,33,SUZUKI,LUNAS
O2,1308800,494000,35,54,HONDA,LUNAS
O3,2004000,507000,24,41,SUZUKI,LUNAS
O2,1196963,378000,36,28,SUZUKI,LUNAS
O2,1162113,313000,36,30,KAWASAKI,LUNAS
O3,2250000,505000,35,37,SUZUKI,LUNAS
O2,1285000,392000,35,55,SUZUKI,LUNAS
O2,847780,442000,36,27,SUZUKI,LUNAS
O3,2320000,642000,23,59,SUZUKI,LUNAS
O2,1256900,505000,35,52,SUZUKI,LUNAS
O3,1028750,326000,36,51,KAWASAKI,LUNAS
